POD_ID,POD_NAME,ENVIRONMENT,DATAHUB_WORKSPACE_ID,DATAHUB_MODEL_ID,FLOW_WORKSPACE_ID,FLOW_MODEL_ID,ENGINE_WORKSPACE_ID,ENGINE_MODEL_ID,IS_GLOBAL,IS_ACTIVE,DATAHUB_PROCESS_ID,GC_WORKSPACE_ID,GC_MODEL_ID,GC_PROCESS_ID,SQL
06,PROD_06_WOMENS-CROPS,PROD,8a81b00e71def0490171e21c25f20497,BBEDCE775F244DC5B25DEB551BE9E6F8,8a81b0106d56a631016d5ec455da1873,D0386B885353471F999094ECDE30851C,8a81b0116d56a740016d5eafda2e1af9,1372D86BEDB54F0C868F40B62B3778CD,false,true,dummy,,,dummy,
07,PROD_07_MENS-SS-LS-TOPS,PROD,8a81b01371e161770171e211e7ff1400,A7B6EFEBADC44D7499E14C33FBF8EA2A,8a81b0126cc58511016cd4f64cbb068b,0D492DFFFAC84A7285112006B4F022AC,8a81b0116cc58403016cd4f7ea4707dc,6094DBAC498E47C497D0F5653A79C2A4,false,true,dummy,,,dummy,
18,PROD_18_Global_Controller,PROD,8a81b0106b5cda5f016b7c214dc20fa7,33EBAED2BBDA43EA8C86B6C721673EDC,,,,,true,true,dummy,8a81b0126cc58511016cd4f4ff320614,6045DB8F7C6A42A8B7EB7BD8BC7A4596,dummy,
skdnsjkd
